bank_ref_id,transaction_id,settled_amount_paise,settlement_date,instrument_type,merchant_id,fee_paise,gst_paise,settlement_id,utr,currency,gross_amount_paise
bnk_7475367,7475367,8606,2010-01-01,DEBIT_CARD,17976,87,16,set_7475367,,,8709
bnk_7475368,7475368,14664,2010-01-01,DEBIT_CARD,5258,148,27,set_7475368,,,14839
bnk_7475370,7475370,4755,2010-01-01,DEBIT_CARD,88646,48,9,set_7475370,,,4812
bnk_7475371,7475371,766,2010-01-01,DEBIT_CARD,86977,8,1,set_7475371,,,775
bnk_7475372,7475372,1432,2010-01-01,CREDIT_CARD,16798,29,5,set_7475372,,,1466
bnk_7475373,7475373,391,2010-01-01,DEBIT_CARD,44625,4,1,set_7475373,,,396
bnk_7475374,7475374,1252,2010-01-01,DEBIT_CARD,39021,13,2,set_7475374,,,1267
bnk_7475376,7475376,57412,2010-01-01,DEBIT_CARD,73661,581,105,set_7475376,,,58098
bnk_7475377,7475377,1022,2010-01-01,DEBIT_CARD,12399,10,2,set_7475377,,,1034
bnk_7475378,7475378,1694,2010-01-01,DEBIT_CARD,29232,17,3,set_7475378,,,1714
bnk_7475379,7475379,183,2010-01-01,DEBIT_CARD,14528,2,0,set_7475379,,,185
bnk_7475380,7475380,7003,2010-01-01,CREDIT_CARD,43293,143,26,set_7475380,,,7172
bnk_7475381,7475381,19528,2010-01-01,CREDIT_CARD,27092,400,72,set_7475381,,,20000
bnk_7475383,7475383,2254,2010-01-01,CREDIT_CARD,80797,46,8,set_7475383,,,2308
bnk_7475385,7475385,3953,2010-01-01,DEBIT_CARD,27092,40,7,set_7475385,,,4000
bnk_7475388,7475388,241,2010-01-01,DEBIT_CARD,46284,2,0,set_7475388,,,243
bnk_7475389,7475389,372,2010-01-01,DEBIT_CARD,20519,4,1,set_7475389,,,377
bnk_7475390,7475390,325,2010-01-01,DEBIT_CARD,92883,3,1,set_7475390,,,329
bnk_7475391,7475391,6224,2010-01-01,DEBIT_CARD,17976,63,11,set_7475391,,,6298
bnk_7475394,7475394,3394,2010-01-01,DEBIT_CARD,16798,34,6,set_7475394,,,3434
bnk_7475395,7475395,7260,2010-01-01,DEBIT_CARD,18293,73,13,set_7475395,,,7346
bnk_7475396,7475396,905,2010-01-01,DEBIT_CARD,23462,9,2,set_7475396,,,916
bnk_7475397,7475397,52851,2010-01-01,CREDIT_CARD,40475,1083,195,set_7475397,,,54129
bnk_7475398,7475398,3032,2010-01-01,DEBIT_CARD,32175,31,6,set_7475398,,,3069
bnk_7475399,7475399,17322,2010-01-01,CREDIT_CARD,86616,355,64,set_7475399,,,17741
bnk_7475400,7475400,1403,2010-01-01,DEBIT_CARD,66541,14,3,set_7475400,,,1420
bnk_7475401,7475401,11783,2010-01-01,DEBIT_CARD,87530,119,21,set_7475401,,,11923
bnk_7475402,7475402,1048,2010-01-01,DEBIT_CARD,82981,11,2,set_7475402,,,1061
bnk_7475403,7475403,5173,2010-01-01,CREDIT_CARD,39021,106,19,set_7475403,,,5298
bnk_7475404,7475404,331,2010-01-01,DEBIT_CARD,44625,3,1,set_7475404,,,335
bnk_7475406,7475406,3859,2010-01-01,DEBIT_CARD,58215,39,7,set_7475406,,,3905
bnk_7475407,7475407,671,2010-01-01,DEBIT_CARD,72351,7,1,set_7475407,,,679
bnk_7475410,7475410,9882,2010-01-01,DEBIT_CARD,27092,100,18,set_7475410,,,10000
bnk_7475411,7475411,19391,2010-01-01,DEBIT_CARD,5009,196,35,set_7475411,,,19622
bnk_7475412,7475412,374,2010-01-01,CREDIT_CARD,2177,8,1,set_7475412,,,383
bnk_7475413,7475413,181,2010-01-01,CREDIT_CARD,81833,4,1,set_7475413,,,187
bnk_7475414,7475414,767,2010-01-01,DEBIT_CARD,45926,7,1,set_7475414,,,663
bnk_7475415,7475415,821,2010-01-01,DEBIT_CARD,43293,8,1,set_7475415,,,830
bnk_7475416,7475416,272,2010-01-01,DEBIT_CARD,75781,3,1,set_7475416,,,275
bnk_7475417,7475417,530,2010-01-01,DEBIT_CARD,49789,4,1,set_7475417,,,407
bnk_7475419,7475419,225,2010-01-01,CREDIT_CARD,95811,5,1,set_7475419,,,231
bnk_7475420,7475420,21,2010-01-01,DEBIT_CARD,61195,0,0,set_7475420,,,21
bnk_7475421,7475421,38668,2010-01-01,CREDIT_CARD,73661,792,143,set_7475421,,,39603
bnk_7475423,7475423,8887,2010-01-01,CREDIT_CARD,35451,182,33,set_7475423,,,9102
bnk_7475423b,7475423,8887,2010-01-01,CREDIT_CARD,35451,182,33,set_7475423b,,,9102
bnk_7475424,7475424,363,2010-01-01,DEBIT_CARD,59397,4,1,set_7475424,,,368
bnk_7475425,7475425,3766,2010-01-01,DEBIT_CARD,17976,38,7,set_7475425,,,3811
bnk_7475426,7475426,2566,2010-01-01,DEBIT_CARD,45389,26,5,set_7475426,,,2597
bnk_7475427,7475427,6449,2010-01-01,CREDIT_CARD,39021,132,24,set_7475427,,,6605
bnk_7475429,7475429,3263,2010-01-01,DEBIT_CARD,71416,33,6,set_7475429,,,3302
bnk_7475430,7475430,10274,2010-01-01,DEBIT_CARD,18966,104,19,set_7475430,,,10397
bnk_7475431,7475431,231,2010-01-01,DEBIT_CARD,61195,2,0,set_7475431,,,233
bnk_7475432,7475432,5097,2010-01-01,DEBIT_CARD,98436,52,9,set_7475432,,,5158
bnk_7475434,7475434,5676,2010-01-01,DEBIT_CARD,78454,57,10,set_7475434,,,5743
bnk_7475435,7475435,283,2010-01-01,DEBIT_CARD,61195,3,1,set_7475435,,,287
bnk_7475436,7475436,2698,2010-01-01,CREDIT_CARD,1903,55,10,set_7475436,,,2763
bnk_7475437,7475437,7585,2010-01-01,DEBIT_CARD,59288,77,14,set_7475437,,,7676
bnk_7475438,7475438,899,2010-01-01,DEBIT_CARD,75936,9,2,set_7475438,,,910
bnk_7475439,7475439,75,2010-01-01,DEBIT_CARD,99312,1,0,set_7475439,,,75
bnk_7475440,7475440,15622,2010-01-01,CREDIT_CARD,27092,320,58,set_7475440,,,16000
bnk_7475441,7475441,2788,2010-01-01,DEBIT_CARD,20561,28,5,set_7475441,,,2821
bnk_7475442,7475442,4433,2010-01-01,DEBIT_CARD,1238,45,8,set_7475442,,,4486
bnk_7475443,7475443,5705,2010-01-01,DEBIT_CARD,68751,58,10,set_7475443,,,5773
bnk_7475444,7475444,643,2010-01-01,DEBIT_CARD,75781,7,1,set_7475444,,,652
bnk_7475446,7475446,395,2010-01-01,CREDIT_CARD,10455,8,1,set_7475446,,,404
bnk_7475447,7475447,388,2010-01-01,DEBIT_CARD,61195,4,1,set_7475447,,,393
bnk_7475449,7475449,500,2010-01-01,CREDIT_CARD,95811,10,2,set_7475449,,,512
bnk_7475450,7475450,1893,2010-01-01,DEBIT_CARD,73365,19,3,set_7475450,,,1915
bnk_7475452,7475452,5746,2010-01-01,CREDIT_CARD,88544,118,21,set_7475452,,,5885
bnk_7475453,7475453,273,2010-01-01,DEBIT_CARD,61746,3,1,set_7475453,,,277
bnk_7475454,7475454,271,2010-01-01,DEBIT_CARD,47756,3,1,set_7475454,,,275
bnk_7475455,7475455,11264,2010-01-01,CREDIT_CARD,98648,231,42,set_7475455,,,11537
bnk_7475456,7475456,7678,2010-01-01,DEBIT_CARD,60569,78,14,set_7475456,,,7770
bnk_7475457,7475457,11801,2010-01-01,CREDIT_CARD,61195,242,44,set_7475457,,,12087
bnk_7475458,7475458,2495,2010-01-01,DEBIT_CARD,45389,24,4,set_7475458,,,2386
bnk_7475459,7475459,1105,2010-01-01,DEBIT_CARD,2205,11,2,set_7475459,,,1118
bnk_7475461,7475461,387,2010-01-01,DEBIT_CARD,75936,4,1,set_7475461,,,392
bnk_7475462,7475462,2697,2010-01-01,DEBIT_CARD,73365,27,5,set_7475462,,,2729
bnk_7475463,7475463,4041,2010-01-01,DEBIT_CARD,59350,41,7,set_7475463,,,4089
bnk_7475464,7475464,1404,2010-01-01,DEBIT_CARD,44795,14,3,set_7475464,,,1421
bnk_7475465,7475465,2389,2010-01-01,CREDIT_CARD,35001,49,9,set_7475465,,,2447
bnk_7475466,7475466,2890,2010-01-01,CREDIT_CARD,54850,59,11,set_7475466,,,2960
bnk_7475467,7475467,2250,2010-01-01,DEBIT_CARD,44919,23,4,set_7475467,,,2277
bnk_7475468,7475468,5779,2010-01-01,DEBIT_CARD,80770,58,10,set_7475468,,,5847
bnk_7475469,7475469,3665,2010-01-01,DEBIT_CARD,96712,37,7,set_7475469,,,3709
bnk_7475470,7475470,1117,2010-01-01,CREDIT_CARD,46284,23,4,set_7475470,,,1144
bnk_7475471,7475471,472,2010-01-01,DEBIT_CARD,50783,5,1,set_7475471,,,478
bnk_7475473,7475473,3482,2010-01-01,DEBIT_CARD,45188,35,6,set_7475473,,,3523
bnk_7475474,7475474,9986,2010-01-01,CREDIT_CARD,51664,205,37,set_7475474,,,10227
bnk_7475475,7475475,353,2010-01-01,DEBIT_CARD,75936,4,1,set_7475475,,,358
bnk_7475476,7475476,1419,2010-01-01,DEBIT_CARD,98374,14,3,set_7475476,,,1436
bnk_7475477,7475477,17227,2010-01-01,CREDIT_CARD,1827,353,64,set_7475477,,,17644
bnk_7475478,7475478,11858,2010-01-01,DEBIT_CARD,27092,120,22,set_7475478,,,12000
bnk_7475479,7475479,434,2010-01-01,DEBIT_CARD,50783,4,1,set_7475479,,,439
bnk_7475480,7475480,664,2010-01-01,DEBIT_CARD,75781,7,1,set_7475480,,,672
bnk_7475481,7475481,1362,2010-01-01,DEBIT_CARD,56241,14,3,set_7475481,,,1379
bnk_7475482,7475482,6200,2010-01-01,CREDIT_CARD,70766,127,23,set_7475482,,,6350
bnk_7475483,7475483,5874,2010-01-01,DEBIT_CARD,55604,59,11,set_7475483,,,5944
bnk_7475485,7475485,1551,2010-01-01,CREDIT_CARD,39261,32,6,set_7475485,,,1589
bnk_7475486,7475486,9497,2010-01-01,CREDIT_CARD,20561,193,35,set_7475486,,,9663
bnk_7475487,7475487,9203,2010-01-01,DEBIT_CARD,22014,93,17,set_7475487,,,9313
bnk_7475488,7475488,3112,2010-01-01,DEBIT_CARD,85304,32,6,set_7475488,,,3150
bnk_7475489,7475489,160,2010-01-01,DEBIT_CARD,20519,2,0,set_7475489,,,162
bnk_7475490,7475490,2061,2010-01-01,DEBIT_CARD,41122,21,4,set_7475490,,,2086
bnk_7475491,7475491,762,2010-01-01,DEBIT_CARD,50404,8,1,set_7475491,,,771
bnk_7475492,7475492,3351,2010-01-01,DEBIT_CARD,35001,33,6,set_7475492,,,3319
bnk_7475493,7475493,10686,2010-01-01,DEBIT_CARD,98374,108,19,set_7475493,,,10813
bnk_7475493b,7475493,10686,2010-01-01,DEBIT_CARD,98374,108,19,set_7475493b,,,10813
bnk_7475494,7475494,16241,2010-01-01,CREDIT_CARD,56276,333,60,set_7475494,,,16634
bnk_7475495,7475495,1432,2010-01-01,DEBIT_CARD,45501,15,3,set_7475495,,,1450
bnk_7475496,7475496,332,2010-01-01,DEBIT_CARD,98374,3,1,set_7475496,,,336
bnk_7475497,7475497,252,2010-01-01,DEBIT_CARD,59397,3,1,set_7475497,,,256
bnk_7475498,7475498,5513,2010-01-01,DEBIT_CARD,24823,56,10,set_7475498,,,5579
bnk_7475499,7475499,17201,2010-01-01,DEBIT_CARD,68671,174,31,set_7475499,,,17406
bnk_7475500,7475500,5433,2010-01-01,DEBIT_CARD,73186,55,10,set_7475500,,,5498
bnk_7475501,7475501,2197,2010-01-01,DEBIT_CARD,16798,22,4,set_7475501,,,2223
bnk_7475501b,7475501,2197,2010-01-01,DEBIT_CARD,16798,22,4,set_7475501b,,,2223
bnk_7475502,7475502,5858,2010-01-01,CREDIT_CARD,27092,120,22,set_7475502,,,6000
bnk_7475505,7475505,5938,2010-01-01,DEBIT_CARD,20916,60,11,set_7475505,,,6009
bnk_7475506,7475506,7387,2010-01-01,DEBIT_CARD,32175,75,14,set_7475506,,,7476
bnk_7475506b,7475506,7387,2010-01-01,DEBIT_CARD,32175,75,14,set_7475506b,,,7476
bnk_7475507,7475507,2958,2010-01-01,DEBIT_CARD,95377,30,5,set_7475507,,,2993
bnk_7475508,7475508,11660,2010-01-01,CREDIT_CARD,84708,239,43,set_7475508,,,11942
bnk_7475509,7475509,4567,2010-01-01,DEBIT_CARD,15143,46,8,set_7475509,,,4621
bnk_7475510,7475510,2607,2010-01-01,DEBIT_CARD,39021,26,5,set_7475510,,,2638
bnk_7475511,7475511,6630,2010-01-01,DEBIT_CARD,40475,67,12,set_7475511,,,6709
bnk_7475512,7475512,113,2010-01-01,DEBIT_CARD,14528,1,0,set_7475512,,,114
bnk_7475513,7475513,6902,2010-01-01,DEBIT_CARD,49286,70,13,set_7475513,,,6985
bnk_7475514,7475514,862,2010-01-01,DEBIT_CARD,50783,9,2,set_7475514,,,873
bnk_7475515,7475515,10193,2010-01-01,CREDIT_CARD,32175,209,38,set_7475515,,,10440
bnk_7475516,7475516,10243,2010-01-01,CREDIT_CARD,32175,208,37,set_7475516,,,10410
bnk_7475517,7475517,7876,2010-01-01,DEBIT_CARD,60569,80,14,set_7475517,,,7970
bnk_7475518,7475518,343,2010-01-01,CREDIT_CARD,59935,5,1,set_7475518,,,268
bnk_7475519,7475519,4551,2010-01-01,DEBIT_CARD,39021,46,8,set_7475519,,,4605
bnk_7475520,7475520,18122,2010-01-01,CREDIT_CARD,80770,371,67,set_7475520,,,18560
bnk_7475521,7475521,5929,2010-01-01,DEBIT_CARD,27092,60,11,set_7475521,,,6000
bnk_7475522,7475522,5929,2010-01-01,DEBIT_CARD,27092,60,11,set_7475522,,,6000
bnk_7475523,7475523,1164,2010-01-01,DEBIT_CARD,76199,12,2,set_7475523,,,1178
bnk_7475524,7475524,432,2010-01-01,CREDIT_CARD,39021,9,2,set_7475524,,,443
bnk_7475525,7475525,1782,2010-01-01,CREDIT_CARD,715,36,6,set_7475525,,,1824
bnk_7475526,7475526,13670,2010-01-01,CREDIT_CARD,27092,280,50,set_7475526,,,14000
bnk_7475527,7475527,668,2010-01-01,DEBIT_CARD,50867,7,1,set_7475527,,,676
bnk_7475528,7475528,417,2010-01-01,DEBIT_CARD,61806,4,1,set_7475528,,,422
bnk_7475529,7475529,6646,2010-01-01,DEBIT_CARD,94050,67,12,set_7475529,,,6725
bnk_7475531,7475531,4760,2010-01-01,CREDIT_CARD,76639,98,18,set_7475531,,,4876
bnk_7475532,7475532,873,2010-01-01,DEBIT_CARD,41943,9,2,set_7475532,,,884
bnk_7475533,7475533,3566,2010-01-01,CREDIT_CARD,42465,73,13,set_7475533,,,3653
bnk_7475534,7475534,4082,2010-01-01,DEBIT_CARD,17976,41,7,set_7475534,,,4130
bnk_7475535,7475535,1651,2010-01-01,DEBIT_CARD,32175,17,3,set_7475535,,,1671
bnk_7475537,7475537,299,2010-01-01,DEBIT_CARD,23481,3,1,set_7475537,,,303
bnk_7475538,7475538,666,2010-01-01,CREDIT_CARD,22938,14,3,set_7475538,,,683
bnk_7475539,7475539,397,2010-01-01,DEBIT_CARD,35451,4,1,set_7475539,,,402
bnk_7475539b,7475539,397,2010-01-01,DEBIT_CARD,35451,4,1,set_7475539b,,,402
bnk_7475540,7475540,18,2010-01-01,CREDIT_CARD,86438,0,0,set_7475540,,,18
bnk_7475540b,7475540,18,2010-01-01,CREDIT_CARD,86438,0,0,set_7475540b,,,18
bnk_7475541,7475541,7811,2010-01-01,CREDIT_CARD,27092,160,29,set_7475541,,,8000
bnk_7475542,7475542,193,2010-01-01,CREDIT_CARD,50783,4,1,set_7475542,,,198
bnk_7475543,7475543,6619,2010-01-01,DEBIT_CARD,21189,67,12,set_7475543,,,6698
bnk_7475544,7475544,284,2010-01-01,CREDIT_CARD,25705,6,1,set_7475544,,,291
bnk_7475545,7475545,1578,2010-01-01,CREDIT_CARD,2124,32,6,set_7475545,,,1616
bnk_7475546,7475546,4547,2010-01-01,DEBIT_CARD,39021,46,8,set_7475546,,,4601
bnk_7475547,7475547,98,2010-01-01,CREDIT_CARD,86438,2,0,set_7475547,,,100
bnk_7475548,7475548,1163,2010-01-01,CREDIT_CARD,73840,24,4,set_7475548,,,1191
bnk_7475551,7475551,11445,2010-01-01,DEBIT_CARD,26810,116,21,set_7475551,,,11582
bnk_7475552,7475552,3406,2010-01-01,DEBIT_CARD,53187,34,6,set_7475552,,,3446
bnk_7475555,7475555,204,2010-01-01,DEBIT_CARD,88374,1,0,set_7475555,,,140
bnk_7475556,7475556,9006,2010-01-01,DEBIT_CARD,20884,91,16,set_7475556,,,9113
bnk_7475557,7475557,1647,2010-01-01,DEBIT_CARD,69956,17,3,set_7475557,,,1667
bnk_7475559,7475559,1020,2010-01-01,CREDIT_CARD,50292,21,4,set_7475559,,,1045
bnk_7475561,7475561,186,2010-01-01,DEBIT_CARD,19252,2,0,set_7475561,,,188
bnk_7475562,7475562,25938,2010-01-01,DEBIT_CARD,16041,262,47,set_7475562,,,26247
bnk_7475563,7475563,336,2010-01-01,DEBIT_CARD,23098,3,1,set_7475563,,,340
bnk_7475564,7475564,294,2010-01-01,DEBIT_CARD,88646,3,1,set_7475564,,,298
bnk_7475565,7475565,1211,2010-01-01,DEBIT_CARD,27156,11,2,set_7475565,,,1079
bnk_7475566,7475566,29694,2010-01-01,DEBIT_CARD,23008,300,54,set_7475566,,,30048
bnk_7475567,7475567,6113,2010-01-01,DEBIT_CARD,39021,62,11,set_7475567,,,6186
bnk_7475568,7475568,325,2010-01-01,DEBIT_CARD,43293,3,1,set_7475568,,,329
bnk_7475569,7475569,972,2010-01-01,DEBIT_CARD,11264,10,2,set_7475569,,,984
bnk_7475570,7475570,4262,2010-01-01,DEBIT_CARD,11468,43,8,set_7475570,,,4313
bnk_7475571,7475571,333,2010-01-01,CREDIT_CARD,89738,7,1,set_7475571,,,341
bnk_7475572,7475572,1250,2010-01-01,CREDIT_CARD,39021,26,5,set_7475572,,,1281
bnk_7475573,7475573,9388,2010-01-01,DEBIT_CARD,59935,95,17,set_7475573,,,9500
bnk_7475574,7475574,207,2010-01-01,CREDIT_CARD,75781,4,1,set_7475574,,,212
bnk_7475575,7475575,5966,2010-01-01,DEBIT_CARD,83743,60,11,set_7475575,,,6037
bnk_7475576,7475576,4096,2010-01-01,CREDIT_CARD,40475,84,15,set_7475576,,,4195
bnk_7475577,7475577,3780,2010-01-01,DEBIT_CARD,63909,37,7,set_7475577,,,3692
bnk_7475578,7475578,1449,2010-01-01,DEBIT_CARD,50404,15,3,set_7475578,,,1467
bnk_7475579,7475579,9764,2010-01-01,CREDIT_CARD,27092,200,36,set_7475579,,,10000
bnk_7475580,7475580,393,2010-01-01,DEBIT_CARD,23492,4,1,set_7475580,,,398
bnk_7475582,7475582,329,2010-01-01,DEBIT_CARD,20519,3,1,set_7475582,,,333
bnk_7475584,7475584,3285,2010-01-01,CREDIT_CARD,3316,67,12,set_7475584,,,3364
bnk_7475585,7475585,7621,2010-01-01,CREDIT_CARD,32175,156,28,set_7475585,,,7805
bnk_7475586,7475586,956,2010-01-01,DEBIT_CARD,39021,10,2,set_7475586,,,968
bnk_7475588,7475588,6363,2010-01-01,DEBIT_CARD,43293,64,12,set_7475588,,,6439
bnk_7475589,7475589,862,2010-01-01,DEBIT_CARD,50867,9,2,set_7475589,,,873
bnk_7475590,7475590,211,2010-01-01,DEBIT_CARD,22484,2,0,set_7475590,,,213
bnk_7475591,7475591,3505,2010-01-01,CREDIT_CARD,83070,72,13,set_7475591,,,3590
bnk_7475592,7475592,2397,2010-01-01,CREDIT_CARD,39021,47,8,set_7475592,,,2361
bnk_7475594,7475594,268,2010-01-01,DEBIT_CARD,88374,3,1,set_7475594,,,272
bnk_7475595,7475595,6620,2010-01-01,DEBIT_CARD,59935,66,12,set_7475595,,,6600
bnk_7475596,7475596,150,2010-01-01,CREDIT_CARD,12547,3,1,set_7475596,,,154
bnk_7475598,7475598,978,2010-01-01,CREDIT_CARD,50856,20,4,set_7475598,,,1002
bnk_7475599,7475599,395,2010-01-01,CREDIT_CARD,35433,8,1,set_7475599,,,404
bnk_7475600,7475600,535,2010-01-01,DEBIT_CARD,11264,5,1,set_7475600,,,541
bnk_7475601,7475601,4178,2010-01-01,DEBIT_CARD,39021,42,8,set_7475601,,,4228
bnk_7475602,7475602,11042,2010-01-01,CREDIT_CARD,71667,226,41,set_7475602,,,11309
bnk_7475603,7475603,132,2010-01-01,DEBIT_CARD,59935,1,0,set_7475603,,,133
bnk_7475604,7475604,701,2010-01-01,DEBIT_CARD,19464,7,1,set_7475604,,,709
bnk_7475605,7475605,236,2010-01-01,DEBIT_CARD,53402,2,0,set_7475605,,,238
bnk_7475606,7475606,681,2010-01-01,DEBIT_CARD,44678,7,1,set_7475606,,,689
bnk_7475607,7475607,18706,2010-01-01,DEBIT_CARD,90999,189,34,set_7475607,,,18929
bnk_7475608,7475608,13670,2010-01-01,CREDIT_CARD,27092,280,50,set_7475608,,,14000
bnk_7475609,7475609,14297,2010-01-01,DEBIT_CARD,93195,145,26,set_7475609,,,14468
bnk_7475610,7475610,132,2010-01-01,DEBIT_CARD,14528,1,0,set_7475610,,,133
bnk_7475611,7475611,2850,2010-01-01,DEBIT_CARD,15143,29,5,set_7475611,,,2884
bnk_7475614,7475614,12022,2010-01-01,DEBIT_CARD,5495,122,22,set_7475614,,,12166
bnk_7475615,7475615,167,2010-01-01,DEBIT_CARD,14528,2,0,set_7475615,,,169
bnk_7475616,7475616,295,2010-01-01,DEBIT_CARD,75703,3,1,set_7475616,,,299
bnk_7475617,7475617,7371,2010-01-01,DEBIT_CARD,60569,75,14,set_7475617,,,7460
bnk_7475619,7475619,1045,2010-01-01,CREDIT_CARD,569,21,4,set_7475619,,,1070
bnk_7475620,7475620,651,2010-01-01,CREDIT_CARD,75781,13,2,set_7475620,,,666
bnk_7475621,7475621,2355,2010-01-01,DEBIT_CARD,52436,24,4,set_7475621,,,2383
bnk_7475622,7475622,481,2010-01-01,DEBIT_CARD,69972,5,1,set_7475622,,,487
bnk_7475625,7475625,1143,2010-01-01,CREDIT_CARD,75781,23,4,set_7475625,,,1170
bnk_7475627,7475627,650,2010-01-01,DEBIT_CARD,17493,7,1,set_7475627,,,658
bnk_7475628,7475628,717,2010-01-01,CREDIT_CARD,68671,15,3,set_7475628,,,735
bnk_7475630,7475630,263,2010-01-01,DEBIT_CARD,86058,3,1,set_7475630,,,267
bnk_7475630b,7475630,263,2010-01-01,DEBIT_CARD,86058,3,1,set_7475630b,,,267
bnk_7475633,7475633,11858,2010-01-01,DEBIT_CARD,27092,120,22,set_7475633,,,12000
bnk_7475634,7475634,175,2010-01-01,DEBIT_CARD,49903,2,0,set_7475634,,,177
bnk_7475635,7475635,294,2010-01-01,DEBIT_CARD,59935,3,1,set_7475635,,,298
bnk_7475636,7475636,1805,2010-01-01,DEBIT_CARD,15143,18,3,set_7475636,,,1826
bnk_7475637,7475637,484,2010-01-01,DEBIT_CARD,27907,5,1,set_7475637,,,490
bnk_7475638,7475638,3509,2010-01-01,DEBIT_CARD,13646,36,6,set_7475638,,,3551
bnk_7475639,7475639,2394,2010-01-01,DEBIT_CARD,98552,24,4,set_7475639,,,2422
bnk_7475640,7475640,103,2010-01-01,DEBIT_CARD,56979,1,0,set_7475640,,,104
bnk_7475641,7475641,2663,2010-01-01,CREDIT_CARD,39021,55,10,set_7475641,,,2728
bnk_7475642,7475642,8499,2010-01-01,DEBIT_CARD,43293,86,15,set_7475642,,,8600
bnk_7475643,7475643,3812,2010-01-01,DEBIT_CARD,15143,39,7,set_7475643,,,3858
bnk_7475644,7475644,265,2010-01-01,DEBIT_CARD,20519,3,1,set_7475644,,,269
bnk_7475645,7475645,307,2010-01-01,DEBIT_CARD,79664,3,1,set_7475645,,,311
bnk_7475646,7475646,7667,2010-01-01,DEBIT_CARD,61195,78,14,set_7475646,,,7759
bnk_7475647,7475647,3822,2010-01-01,CREDIT_CARD,1743,78,14,set_7475647,,,3914
bnk_7475648,7475648,10059,2010-01-01,DEBIT_CARD,30286,102,18,set_7475648,,,10179
bnk_7475649,7475649,3469,2010-01-01,CREDIT_CARD,98374,71,13,set_7475649,,,3553
